customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,totcharges_to_tenure_ratio
5380-WJKOV,34,1,0,2,106.35,3549.25,1,104.3897059
8168-UQWWF,11,1,0,0,97.85,1105.4,1,100.4909091
8865-TNMNX,10,1,2,3,49.55,475.7,0,47.57
9489-DEDVP,70,1,3,1,69.2,4872.35,0,69.605
9867-JCZSP,17,1,2,3,20.75,418.25,0,24.60294118
4671-VJLCL,63,1,3,1,79.85,4861.45,0,77.16587302
4080-IIARD,13,1,0,2,76.2,981.45,0,75.49615385
3714-NTNFO,49,1,0,2,84.5,3906.7,0,79.72857143
5948-UJZLF,2,1,0,3,49.25,97,0,48.5
7760-OYPDY,2,1,0,2,80.65,144.15,1,72.075
7639-LIAYI,52,1,3,1,79.75,4217.8,0,81.11153846
2954-PIBKO,69,1,3,1,64.15,4254.1,0,61.65362319
8012-SOUDQ,43,1,0,2,90.25,3838.75,0,89.27325581
9420-LOJKX,15,1,0,1,99.1,1426.4,1,95.09333333
6575-SUVOI,25,1,0,1,69.5,1752.65,0,70.106
7495-OOKFY,8,1,0,1,80.65,633.3,1,79.1625
4667-QONEA,60,1,2,1,74.85,4456.35,0,74.2725
1658-BYGOY,18,1,0,2,95.45,1752.55,1,97.36388889
8769-KKTPH,63,1,2,1,99.65,6311.2,0,100.1777778
5067-XJQFU,66,1,2,2,108.45,7076.35,0,107.2174242
3957-SQXML,34,1,3,1,24.95,894.3,0,26.30294118
5954-BDFSG,72,1,3,1,107.5,7853.7,0,109.0791667
0434-CSFON,47,1,0,2,100.5,4707.1,0,100.1510638
1215-FIGMP,60,1,0,0,89.9,5450.7,0,90.845
0526-SXDJP,72,0,3,0,42.1,2962,0,41.13888889
0557-ASKVU,18,1,2,1,54.4,957.1,0,53.17222222
5698-BQJOH,9,1,0,2,94.4,857.25,1,95.25
5122-CYFXA,3,1,0,2,75.3,244.1,0,81.36666667
8627-ZYGSZ,47,1,2,2,78.9,3650.35,0,77.66702128
3410-YOQBQ,31,1,3,3,79.2,2497.2,0,80.55483871
3170-NMYVV,50,1,3,0,20.15,930.9,0,18.618
7410-OIEDU,10,1,0,3,79.85,887.35,0,88.735
2273-QCKXA,1,1,0,3,49.05,49.05,0,49.05
0731-EBJQB,52,1,2,2,20.4,1090.65,0,20.97403846
1891-QRQSA,64,1,3,0,111.6,7099,0,110.921875
8028-PNXHQ,62,1,3,0,24.25,1424.6,0,22.97741935
5630-AHZIL,3,1,0,0,64.5,177.4,0,59.13333333
2673-CXQEU,56,1,2,2,110.5,6139.5,0,109.6339286
6416-JNVRK,46,1,2,1,55.65,2688.85,0,58.45326087
5590-ZSKRV,8,1,0,3,54.65,482.25,0,60.28125
0191-ZHSKZ,30,1,0,2,74.75,2111.3,0,70.37666667
3887-PBQAO,45,1,2,1,25.9,1216.6,0,27.03555556
5919-TMRGD,1,1,0,2,79.35,79.35,1,79.35
8108-UXRQN,11,0,0,2,50.55,565.35,0,51.39545455
9191-MYQKX,7,1,0,0,75.15,496.9,1,70.98571429
9919-YLNNG,42,1,0,0,103.8,4327.5,0,103.0357143
0318-ZOPWS,49,1,3,0,20.15,973.35,0,19.86428571
4445-ZJNMU,9,1,0,1,99.3,918.75,0,102.0833333
4808-YNLEU,35,1,2,0,62.15,2215.45,0,63.29857143
1862-QRWPE,48,1,3,0,20.65,1057,0,22.02083333
2796-NNUFI,46,1,3,3,19.95,927.1,0,20.15434783
3016-KSVCP,29,0,0,3,33.75,1009.25,0,34.80172414
4767-HZZHQ,30,1,0,0,82.05,2570.2,0,85.67333333
2424-WVHPL,1,1,0,2,74.7,74.7,0,74.7
7233-PAHHL,66,1,3,3,84,5714.25,0,86.57954545
6067-NGCEU,65,1,0,1,111.05,7107,0,109.3384615
9848-JQJTX,72,1,3,0,100.9,7459.05,0,103.5979167
8637-XJIVR,12,1,0,2,78.95,927.35,1,77.27916667
9803-FTJCG,71,1,2,1,66.85,4748.7,0,66.88309859
0278-YXOOG,5,1,0,3,21.05,113.85,1,22.77
3212-KXOCR,52,1,3,0,21,1107.2,0,21.29230769
4598-XLKNJ,25,1,0,2,98.5,2514.5,1,100.58
6380-ARCEH,1,1,0,3,20.2,20.2,0,20.2
3679-XASPY,1,1,0,2,19.45,19.45,0,19.45
7123-WQUHX,38,1,2,0,95,3605.6,0,94.88421053
5386-THSLQ,66,0,2,0,45.55,3027.25,0,45.86742424
3192-NQECA,68,1,3,0,110,7611.85,1,111.9389706
6180-YBIQI,5,0,0,3,24.3,100.2,0,20.04
6728-DKUCO,72,1,2,2,104.15,7303.05,0,101.43125
9750-BOOHV,32,0,2,3,30.15,927.65,0,28.9890625
8597-CWYHH,43,1,2,3,94.35,3921.3,0,91.19302326
2848-YXSMW,72,1,3,1,19.4,1363.25,0,18.93402778
0486-HECZI,55,1,0,2,96.75,5238.9,1,95.25272727
4549-ZDQYY,52,1,2,1,57.95,3042.25,0,58.50480769
5712-AHQNN,43,1,0,2,91.65,3954.1,0,91.95581395
4846-WHAFZ,37,1,0,2,76.5,2868.15,1,77.51756757
5256-SKJGO,64,0,3,2,54.6,3423.5,0,53.4921875
3071-VBYPO,3,1,0,2,89.85,248.4,0,82.8
9560-BBZXK,36,0,3,0,31.05,1126.35,0,31.2875
5299-RULOA,10,1,0,2,100.25,1064.65,1,106.465
8402-OOOHJ,41,1,3,3,20.65,835.15,0,20.3695122
9445-ZUEQE,27,1,0,1,85.2,2151.6,0,79.68888889
1091-SOZGA,56,1,2,1,99.8,5515.45,0,98.49017857
2928-HLDBA,6,1,0,3,20.7,112.75,0,18.79166667
0404-SWRVG,3,1,0,2,74.4,229.55,1,76.51666667
6497-TILVL,7,1,0,3,50.7,350.35,0,50.05
7219-TLZHO,4,1,0,3,20.85,62.9,0,15.725
4622-YNKIJ,33,1,3,2,88.95,3027.65,0,91.7469697
4412-YLTKF,27,1,0,2,78.05,2135.5,1,79.09259259
6734-PSBAW,72,1,3,0,23.55,1723.95,0,23.94375
3930-ZGWVE,1,1,0,3,19.75,19.75,0,19.75
2639-UGMAZ,71,0,2,2,56.45,3985.35,0,56.13169014
2876-GZYZC,13,1,0,2,85.95,1215.65,0,93.51153846
6207-WIOLX,25,0,0,1,58.6,1502.65,1,60.106
8587-XYZSF,67,1,3,0,50.55,3260.1,0,48.65820896
3091-FYHKI,1,0,0,2,35.45,35.45,1,35.45
2372-HWUHI,2,1,0,2,44.35,81.25,1,40.625
7799-LGRDP,43,1,3,1,25.7,1188.2,0,27.63255814
7850-VWJUU,23,1,0,0,75,1778.5,0,77.32608696
3774-VBNXY,64,1,3,3,20.2,1277.75,0,19.96484375
6217-KDYWC,57,1,3,3,19.6,1170.55,0,20.53596491
0390-DCFDQ,1,1,0,3,70.45,70.45,1,70.45
3146-MSEGF,72,1,3,1,88.05,6425.65,0,89.24513889
4080-OGPJL,8,1,0,2,71.15,563.65,1,70.45625
1095-WGNGG,61,1,3,0,101.05,5971.25,0,97.88934426
2636-SJDOU,64,1,2,1,84.3,5289.05,0,82.64140625
1131-QQZEB,71,1,3,0,23.95,1756.2,0,24.73521127
5716-EZXZN,65,1,3,1,99.05,6416.7,0,98.71846154
6837-BJYDQ,3,1,2,3,19.6,61.35,0,20.45
2135-RXIHG,1,1,0,2,45.65,45.65,1,45.65
6440-DKQGE,30,1,2,1,64.5,1929.95,0,64.33166667
3466-BYAVD,15,1,0,3,69.5,1071.4,0,71.42666667
3780-YVMFA,8,1,0,2,68.55,564.35,0,70.54375
3874-EQOEP,7,1,0,3,95,655.5,1,93.64285714
1679-JRFBR,70,1,2,1,108.15,7930.55,0,113.2935714
9073-ZZIAY,62,1,3,2,86.1,5215.25,0,84.11693548
3077-RSNTJ,6,1,0,3,19.7,113.5,0,18.91666667
6551-GNYDG,14,1,0,0,80.9,1152.8,0,82.34285714
9167-APMXZ,22,1,0,0,84.15,1821.95,0,82.81590909
2749-CTKAJ,22,1,2,3,20.15,419.9,0,19.08636364
6371-NZYEG,16,1,3,3,64.25,1024,0,64
7554-NEWDD,10,1,3,0,25.7,251.6,0,25.16
8992-VONJD,13,1,0,2,56,764.55,0,58.81153846
0867-MKZVY,20,1,0,2,82.4,1592.35,1,79.6175
4482-EWFMI,2,1,0,2,69.7,135.2,0,67.6
4648-YPBTM,53,1,3,0,73.9,3958.25,0,74.68396226
2907-ILJBN,11,1,2,3,20.6,233.9,0,21.26363636
6345-FZOQH,69,1,3,3,19.9,1363.45,0,19.76014493
3376-BMGFE,4,1,0,0,70.9,273,1,68.25
5997-OPVFA,72,1,3,0,89.05,6254.45,0,86.86736111
3445-HXXGF,58,0,0,2,45.3,2651.2,1,45.71034483
1159-WFSGR,16,1,0,2,20.4,321.4,0,20.0875
7654-YWJUF,43,1,2,0,84.25,3539.25,0,82.30813953
1875-QIVME,2,1,0,2,104.4,242.8,1,121.4
6727-IOTLZ,14,1,3,3,81.95,1181.75,0,84.41071429
0691-JVSYA,53,1,2,0,94.85,5000.2,1,94.34339623
5918-VUKWP,32,1,2,0,20.55,654.55,0,20.4546875
1744-JHKYS,34,1,0,2,24.7,780.2,0,22.94705882
2656-FMOKZ,15,1,0,3,74.45,1145.7,1,76.38
2070-FNEXE,7,1,0,0,76.45,503.6,1,71.94285714
5947-SGKCL,15,1,0,0,105.35,1559.25,0,103.95
3712-PKXZA,61,1,2,1,20.55,1252,0,20.52459016
6317-YPKDH,1,0,0,0,29.95,29.95,1,29.95
6582-OIVSP,1,1,0,3,45.3,45.3,0,45.3
9367-WXLCH,8,1,0,0,84.5,662.65,1,82.83125
5524-KHNJP,33,1,2,1,74.75,2453.3,0,74.34242424
1918-ZBFQJ,13,1,0,2,79.25,1111.65,1,85.51153846
1024-GUALD,1,0,0,2,24.8,24.8,1,24.8
4827-USJHP,20,1,0,3,51.8,1023.85,0,51.1925
8167-GJLRN,3,0,0,2,30.4,82.15,0,27.38333333
0956-SYCWG,13,1,2,2,19.65,244.8,0,18.83076923
8017-UVSZU,40,1,0,1,56.6,2379.1,0,59.4775
7100-FQPRV,43,1,2,1,71.9,3173.35,0,73.79883721
2472-OVKUP,6,1,0,2,91,531,1,88.5
2984-RGEYA,69,1,3,0,19.75,1375.4,0,19.93333333
9680-NIAUV,72,1,3,1,109.7,8129.3,0,112.9069444
2146-EGVDT,59,1,3,1,19.3,1192.7,0,20.21525424
2604-IJPDU,20,1,0,2,96.55,1901.65,0,95.0825
9178-JHUVJ,24,1,3,0,24.1,587.4,0,24.475
6168-YBYNP,59,1,0,2,111.35,6519.75,0,110.5042373
7255-SSFBC,72,1,3,0,112.25,8041.65,0,111.6895833
3645-DEYGF,1,1,0,3,20.75,20.75,0,20.75
9323-HGFWY,27,1,2,1,101.9,2681.15,0,99.30185185
8544-GOQSH,14,1,0,1,80.05,1112.3,0,79.45
3363-DTIVD,71,1,3,2,105.55,7405.5,0,104.3028169
7018-WBJNK,13,1,0,1,78.3,1033.95,0,79.53461538
9142-KZXOP,44,1,0,1,68.85,2958.95,0,67.24886364
7674-YTAFD,33,1,2,0,79.95,2684.85,0,81.35909091
6348-SNFUS,72,0,3,1,55.45,4179.2,0,58.04444444
1285-OKIPP,1,1,0,2,79.9,79.9,1,79.9
7825-ECJRF,19,1,0,2,106.6,1934.45,1,101.8131579
1347-KTTTA,64,1,2,1,102.45,6654.1,0,103.9703125
7841-TZDMQ,2,1,0,1,46,84.5,1,42.25
4195-NZGTA,1,0,0,2,25.25,25.25,0,25.25
7157-SMCFK,61,1,3,3,19.75,1124.2,0,18.4295082
4709-LKHYG,29,1,2,2,20,540.05,0,18.62241379
2504-DSHIH,23,1,0,2,86.8,1975.85,0,85.90652174
0699-NDKJM,57,0,0,0,58.75,3437.45,0,60.30614035
9286-BHDQG,72,0,3,1,45.25,3139.8,0,43.60833333
0230-WEQUW,66,0,3,0,56.6,3789.2,0,57.41212121
2040-LDIWQ,65,1,3,0,84.2,5324.5,0,81.91538462
6496-JDSSB,8,1,0,0,80,624.6,0,78.075
9408-SSNVZ,4,1,0,2,70.15,268.35,1,67.0875
4443-EMBNA,71,1,3,0,24.75,1836.9,0,25.87183099
6469-MRVET,1,1,2,2,20.2,20.2,0,20.2
0742-MOABM,4,1,0,3,50.05,179.35,1,44.8375
5961-VUSRV,12,1,2,0,19.35,219.35,0,18.27916667
6778-JFCMK,24,0,2,3,50.6,1288.75,0,53.69791667
6341-JVQGF,31,1,2,3,81.15,2545.75,0,82.12096774
2232-DMLXU,1,1,0,3,55.2,55.2,1,55.2
4811-JBUVU,30,1,0,1,89.9,2723.15,0,90.77166667
0945-TSONX,47,1,3,1,85.3,4107.25,0,87.38829787
2651-ZCBXV,54,1,3,1,108,5760.65,0,106.6787037
3316-UWXUY,50,1,0,1,93.5,4747.5,0,94.95
8937-RDTHP,1,1,0,3,84.6,84.6,1,84.6
7083-MIOPC,72,1,3,1,20.25,1566.9,0,21.7625
1984-GPTEH,29,1,0,2,25.15,702,0,24.20689655
1251-KRREG,2,1,0,3,54.4,114.1,1,57.05
0621-JFHOL,10,0,3,3,29.6,299.05,0,29.905
9903-LYSAB,18,1,0,2,73.15,1305.95,0,72.55277778
0094-OIFMO,11,1,0,2,95,1120.3,1,101.8454545
9227-UAQFT,16,1,3,3,19.75,284.35,0,17.771875
7301-ABVAD,72,1,3,0,86.6,6350.5,0,88.20138889
6614-FHDBO,72,1,3,0,109.2,7878.3,0,109.4208333
7576-ASEJU,41,1,2,1,74.7,3187.65,0,77.74756098
9058-HRZSV,65,1,0,2,94.4,6126.15,0,94.24846154
4522-AKYLR,13,1,0,2,54.8,731.3,0,56.25384615
0221-WMXNQ,4,1,0,2,75.35,273.4,0,68.35
0303-UNCIP,41,1,2,3,65,2531.8,0,61.75121951
9947-OTFQU,15,1,0,2,74.4,1074.3,1,71.62
0322-YINQP,1,1,0,3,48.55,48.55,1,48.55
0959-WHOKV,42,1,2,2,99,4298.45,0,102.3440476
4075-JFPGR,51,1,2,2,93.5,4619.55,0,90.57941176
4629-NRXKX,2,1,0,2,70.4,147.15,1,73.575
9514-JDSKI,1,0,0,2,40.2,40.2,1,40.2
3282-ZISZV,32,1,2,1,83.7,2633.3,0,82.290625
3675-YDUPJ,10,1,0,3,19.85,193.05,0,19.305
4111-BNXIF,67,0,3,2,59.55,4103.9,0,61.25223881
7017-VFHAY,61,1,3,1,115.1,7008.15,0,114.8877049
6655-LHBYW,50,1,2,1,114.35,5791.1,0,115.822
4959-JOSRX,2,1,0,1,44.6,80.55,1,40.275
5046-NUHWD,29,0,0,2,45,1228.65,0,42.36724138
7273-TEFQD,3,0,0,2,41.15,132.2,1,44.06666667
3606-TWKGI,13,1,0,2,106.9,1364.3,1,104.9461538
7529-ZDFXI,57,1,0,2,89.85,4925.35,0,86.40964912
7605-BDWDC,31,0,3,0,49.85,1520.1,0,49.03548387
1950-KSVVJ,45,1,2,3,113.3,5032.25,0,111.8277778
0123-CRBRT,61,1,3,3,88.1,5526.75,0,90.60245902
6292-TOSSS,50,1,3,0,24.9,1195.25,0,23.905
3197-ARFOY,19,1,0,3,105,2007.25,0,105.6447368
6323-AYBRX,59,1,3,3,19.35,1099.6,1,18.63728814
7014-ZZXAW,71,1,3,1,24.25,1732.95,0,24.40774648
4385-GZQXV,16,1,0,2,94.45,1511.2,1,94.45
7633-MVPUY,57,1,3,2,59.75,3450.15,0,60.52894737
6366-ZGQGL,1,0,0,0,24.8,24.8,1,24.8
4716-HHKQH,20,1,0,2,107.05,2172.05,0,108.6025
5940-AHUHD,1,1,0,3,70.6,70.6,1,70.6
6432-TWQLB,5,1,0,2,85.4,401.1,1,80.22
4484-GLZOU,52,1,0,2,105.05,5624.85,1,108.1701923
3179-GBRWV,21,1,0,0,64.95,1339.8,0,63.8
8645-KWHJO,14,0,0,2,55,771.95,0,55.13928571
4130-MZLCC,5,1,0,0,50.55,244.75,0,48.95
0314-TKOSI,6,1,0,3,55.15,322.9,0,53.81666667
8229-MYEJZ,10,1,0,2,51.2,498.25,0,49.825
2080-SRCDE,1,1,0,3,25.4,25.4,0,25.4
9577-WJVCQ,68,1,0,3,54.45,3687.75,0,54.23161765
9512-UIBFX,18,1,0,3,95.15,1779.95,1,98.88611111
6202-DYYFX,22,1,2,1,76,1783.6,0,81.07272727
3808-HFKDE,20,1,0,2,44.35,927.15,0,46.3575
5583-SXDAG,1,1,0,2,70,70,1,70
3488-PGMQJ,8,1,0,2,74.5,606.55,1,75.81875
3580-REOAC,10,1,0,1,44.85,435.4,1,43.54
7534-BFESC,24,1,0,2,76.1,1712.7,1,71.3625
3727-OWVYD,35,1,2,3,61.2,2021.2,0,57.74857143
2294-SALNE,23,1,2,3,86.8,1940.8,0,84.3826087
4847-TAJYI,6,1,0,2,89.35,567.8,0,94.63333333
1563-IWQEX,12,1,0,3,19.7,220.35,0,18.3625
8203-XJZRC,1,1,0,3,20.25,20.25,0,20.25
6556-DBKZF,71,1,3,2,76.05,5436.45,0,76.56971831
6851-WEFYX,35,1,0,2,100.8,3437.5,0,98.21428571
2985-JUUBZ,40,1,0,2,74.55,3015.75,0,75.39375
6390-DSAZX,1,1,0,3,73.6,73.6,1,73.6
0895-LMRSF,23,1,2,0,64.9,1509.8,0,65.64347826
8098-LLAZX,4,1,0,2,95.45,396.1,1,99.025
8266-VBFQL,4,1,0,2,90.4,356.65,0,89.1625
8181-YHCMF,68,0,3,1,60.3,4109,0,60.42647059
2240-HSJQD,38,1,0,3,81.85,3141.7,0,82.67631579
1248-DYXUB,52,1,3,3,24.8,1229.1,0,23.63653846
0265-EDXBD,32,1,0,2,74.9,2303.35,1,71.9796875
4115-BNPJY,29,1,3,3,75.55,2054.4,0,70.84137931
3167-SNQPL,38,1,0,2,101.15,3741.85,0,98.46973684
4091-TVOCN,48,1,2,1,78.75,3682.45,0,76.71770833
1098-TDVUQ,1,1,0,0,19.25,19.25,0,19.25
7277-OZCGZ,22,1,0,2,89.05,1886.25,0,85.73863636
1557-EMYVT,43,1,3,1,115.05,4895.1,0,113.8395349
2799-ARNLO,5,1,0,2,69.35,341.6,0,68.32
7563-BIUPC,5,1,0,2,80.6,415.55,1,83.11
5027-YOCXN,51,1,2,1,110.05,5686.4,0,111.4980392
3973-SKMLN,71,1,3,1,19.9,1355.1,0,19.08591549
2321-OMBXY,38,1,2,1,80.3,3058.65,1,80.49078947
2840-XANRC,24,1,0,2,93.15,2231.05,1,92.96041667
6745-JEFZB,35,1,0,1,91.5,3236.35,0,92.46714286
5020-ZSTTY,54,1,2,0,82.45,4350.1,1,80.55740741
9880-TDQAC,72,0,3,2,60,4264,0,59.22222222
8705-WZCYL,1,1,0,2,44.8,44.8,0,44.8
7102-JJVTX,9,1,2,3,48.6,422.3,0,46.92222222
8626-PTQGE,69,0,3,0,60.05,4176.7,0,60.53188406
4983-CLMLV,52,1,0,1,102.7,5138.1,0,98.80961538
5701-YVSVF,11,1,0,2,82.9,880.05,0,80.00454545
5804-LEPIM,2,1,0,2,70.35,139.05,1,69.525
5697-GOMBF,28,0,0,2,35.9,973.65,0,34.77321429
2739-CACDQ,17,1,0,1,82.65,1470.05,0,86.47352941
9385-EHGDO,35,1,3,3,19.85,739.35,0,21.12428571
9498-FIMXL,8,1,2,3,19.2,161.95,0,20.24375
2379-GYFLQ,46,1,2,1,94.9,4422.95,0,96.15108696
0122-OAHPZ,7,1,0,2,73.85,511.25,1,73.03571429
2868-SNELZ,2,1,0,3,80.6,155.8,1,77.9
4322-RCYMT,68,1,2,0,75.8,5293.95,1,77.85220588
6680-NENYN,43,1,3,2,104.6,4759.85,1,110.694186
2088-IEBAU,68,1,3,2,88.15,6148.45,0,90.41838235
7982-VCELR,36,1,0,1,94.8,3565.65,0,99.04583333
1343-EHPYB,63,1,0,2,103.4,6603,1,104.8095238
6035-BXTTY,32,1,0,0,54.65,1830.1,0,57.190625
6885-PKOAM,71,1,3,1,85.75,6223.8,0,87.65915493
7520-HQWJU,66,1,0,0,67.45,4508.65,0,68.31287879
9639-BUJXT,63,1,2,3,20.5,1328.15,0,21.08174603
5924-SNGKP,41,1,2,1,20.25,865,0,21.09756098
0021-IKXGC,1,1,0,2,72.1,72.1,0,72.1
2034-GDRCN,2,1,0,2,90.4,168.2,1,84.1
8966-SNIZF,70,1,3,0,19.45,1303.5,0,18.62142857
6243-OZGFH,23,0,0,2,44.95,996.85,0,43.34130435
4654-DLAMQ,64,1,2,0,97,6430.9,0,100.4828125
0513-RBGPE,37,1,3,1,62.8,2278.75,0,61.58783784
5160-UXJED,17,1,2,3,44.6,681.4,0,40.08235294
4115-NZRKS,7,1,0,2,89.15,574.35,0,82.05
0219-YTZUE,4,1,0,0,84.8,371.9,1,92.975
0623-IIHUG,21,0,0,2,41.9,840.1,1,40.0047619
4572-DVCGN,10,1,0,0,80.25,846,1,84.6
3351-NGXYI,16,1,0,2,54.1,889,0,55.5625
8984-EYLLL,64,1,3,2,105.25,6823.4,0,106.615625
9057-MSWCO,27,0,0,1,30.75,805.1,1,29.81851852
9833-TGFHX,42,1,2,2,97.1,4016.75,0,95.63690476
9294-TDIPC,5,1,0,3,20.2,83.75,0,16.75
5229-DTFYB,41,1,3,0,98.8,3959.15,0,96.56463415
0104-PPXDV,58,1,2,1,50.3,2878.55,0,49.63017241
5176-LMJXE,47,1,3,3,20.55,945.7,0,20.1212766
3583-KRKMD,18,1,0,0,75.9,1373.05,0,76.28055556
1010-DIAUQ,5,1,0,0,96.5,492.55,1,98.51
9069-LGEUL,23,1,0,0,59.95,1406,0,61.13043478
7302-ZHMHP,1,1,0,3,19.15,19.15,0,19.15
9571-EDEBV,71,1,2,1,98.65,6962.85,0,98.06830986
3520-FJGCV,72,1,3,1,112.6,8126.65,0,112.8701389
6563-VRERX,33,1,2,3,20.6,690.25,0,20.91666667
0259-GBZSH,2,1,0,2,85.65,181.5,1,90.75
6122-EFVKN,24,0,3,3,35.75,830.8,0,34.61666667
2805-EDJPQ,56,1,2,1,99.75,5608.4,0,100.15
6862-CQUMB,37,1,0,1,96.1,3646.8,0,98.56216216
7156-MXBJE,43,1,2,1,85.1,3662.25,0,85.16860465
6158-HDPXZ,1,0,0,3,25.35,25.35,0,25.35
9601-BRXPO,25,1,0,0,104.95,2566.5,1,102.66
2863-IMQDR,61,1,3,2,89.65,5308.7,0,87.02786885
5686-CMAWK,17,1,2,2,86.75,1410.25,0,82.95588235
5651-CRHKQ,41,1,2,0,86.2,3339.05,0,81.4402439
6905-NIQIN,1,1,0,3,50.65,50.65,1,50.65
8204-YJCLA,72,0,3,0,64.8,4732.35,0,65.72708333
5167-ZFFMM,1,1,0,1,90.85,90.85,1,90.85
6583-SZVGP,48,1,3,0,108.1,5067.45,0,105.571875
4895-TMWIR,11,1,0,3,19.95,214.75,1,19.52272727
0533-BNWKF,55,1,0,2,85.45,4874.7,1,88.63090909
1708-PBBOA,42,0,2,2,54.75,2348.45,0,55.91547619
8782-LKFPK,44,1,0,3,90.4,4063,0,92.34090909
5522-JBWMO,1,1,0,2,44,44,0,44
3597-MVHJT,27,1,0,0,95.6,2595.25,0,96.12037037
9774-NRNAU,27,1,0,0,84.8,2309.55,0,85.53888889
0224-RLWWD,2,1,0,2,44.3,89.3,0,44.65
9967-ATRFS,19,1,0,3,19.9,367.55,0,19.34473684
3951-NJCVI,42,1,0,2,95.05,3944.5,0,93.91666667
2977-CEBSX,66,1,3,1,90.05,5965.95,0,90.39318182
0177-PXBAT,33,1,0,0,109.9,3694.7,0,111.9606061
6599-CEBNN,34,1,0,1,73.95,2524.45,1,74.24852941
2519-ERQOJ,33,0,0,2,54.6,1803.7,0,54.65757576
5876-QMYLD,23,1,2,3,20.05,415.1,0,18.04782609
2277-AXSDC,32,1,2,0,19.75,624.15,0,19.5046875
9442-JTWDL,11,1,2,1,20.05,237.7,0,21.60909091
0979-PHULV,69,1,0,1,99.45,7007.6,1,101.5594203
3067-SVMTC,68,1,2,0,55.9,3848.8,0,56.6
5495-GPSRW,20,1,3,3,19.7,419.4,0,20.97
7606-BPHHN,72,1,3,1,19.8,1468.75,0,20.39930556
4742-DRORA,60,1,2,0,95.4,5812,0,96.86666667
0111-KLBQG,32,1,0,3,93.95,2861.45,0,89.4203125
4800-VHZKI,1,1,0,3,19.9,19.9,1,19.9
7989-CHGTL,1,1,0,3,19.6,19.6,1,19.6
0334-GDDSO,3,1,0,2,81.35,233.7,1,77.9
4163-NCJAK,46,1,2,0,24.45,1066.15,0,23.17717391
5233-AOZUF,29,1,0,2,74.95,2149.05,0,74.10517241
5973-EJGDP,51,1,0,2,87.35,4473,0,87.70588235
1996-DBMUS,48,1,0,0,70.65,3545.05,0,73.85520833
7916-VCCPB,16,1,0,0,73.25,1195.75,0,74.734375
4686-GEFRM,70,1,3,0,98.7,6858.9,0,97.98428571
5249-QYHEX,40,1,3,3,24.8,1024.7,0,25.6175
0578-SKVMF,22,1,0,2,83.3,1845.9,1,83.90454545
5564-NEMQO,1,1,0,0,75.3,75.3,1,75.3
2233-FAGXV,5,1,0,3,24.3,132.25,0,26.45
5605-IYGFG,7,1,0,0,69.85,515.45,0,73.63571429
7663-ZTEGJ,29,1,2,1,100.55,2830.45,0,97.60172414
